"","lon","lat"
"3006",-96.7898034,46.8771863
"3007",-99.9018131,41.4925374
"3008",-100.3161126,25.6866142
"3009",NA,NA
"3010",NA,NA
"3011",NA,NA
"3012",-94.5785667,39.0997265
"3013",-117.1610838,32.715738
"3014",-3.7037902,40.4167754
"3015",-94.5785667,39.0997265
"3016",-96.1420947,18.0809028
"3017",-96.7265889,17.0731842
"3018",-95.2087625,16.1842839
"3019",-100.3161126,25.6866142
"3020",NA,NA
"3021",-100.973678,25.4383234
"3022",-100.973678,25.4383234
"3023",-106.346771,56.130366
"3024",NA,NA
"3025",NA,NA
"3026",NA,NA
"3027",-100.9855409,22.1564699
"3028",-69.9312117,18.4860575
"3029",-99.8766825,19.7975581
"3030",-69.9312117,18.4860575
"3031",-75.5276699,38.9108325
"3032",-94.5785667,39.0997265
"3033",-122.272747,37.8715926
"3034",-94.5785667,39.0997265
"3035",-90.2613413,38.6412636
"3036",-81.3178446,28.7588833
"3037",-71.1989695,42.1943909
"3038",NA,NA
"3039",9.501785,56.26392
"3040",-98.4842465,39.011902
"3041",-106.5942,39.644986
"3042",-107.3940117,24.8090649
"3043",-97.7430608,30.267153
"3044",-73.3467167,42.2024768
"3045",-99.5006322,17.5515346
"3046",-98.4410429,20.1453958
"3047",NA,NA
"3048",-102.552784,23.634501
"3049",-102.552784,23.634501
"3050",NA,NA
"3051",-77.0368707,38.9071923
"3052",-79.4196783,44.6082465
"3053",NA,NA
"3054",-103.3496092,20.6596988
"3055",-75.3630796,39.8932884
"3056",-100.3161126,25.6866142
"3057",-81.1533105,33.3232176
"3058",-95.7243335,37.2321077
"3059",-100.3161126,25.6866142
"3060",NA,NA
"3061",NA,NA
"3062",-5.7156922,54.3287514
"3063",-90.4217895,37.7808846
"3064",-74.0059728,40.7127753
"3065",-86.5804473,35.5174913
"3066",-98.7591311,20.1010608
"3067",-75.7496572,39.6837226
"3068",NA,NA
"3069",-98.7591311,20.1010608
"3070",-122.7094767,42.1945758
"3071",-108.5006904,45.7832856
"3072",-99.133208,19.4326077
"3073",-87.9064736,43.0389025
"3074",NA,NA
"3075",-102.5865558,22.7641984
"3076",-94.6858998,46.729553
"3077",-97.7430608,30.267153
"3078",-97.7430608,30.267153
"3079",-97.7430608,30.267153
"3080",-99.6556653,19.2826098
"3081",-123.0867536,44.0520691
"3082",-123.0867536,44.0520691
"3083",9.501785,56.26392
"3084",-98.2374954,19.318154
"3085",-99.2215659,18.9242095
"3086",-84.5555347,42.732535
"3087",NA,NA
"3088",-103.4049445,20.6144654
"3089",-84.2472116,43.6155825
"3090",-70.6692655,-33.4488897
"3091",-94.8677189,36.933645
"3092",-99.9018131,43.9695148
"3093",-99.9018131,43.9695148
"3094",-122.3320708,47.6062095
"3095",-103.3496092,20.6596988
"3096",-103.3496092,20.6596988
"3097",32.7520139,0.3548655
"3098",-103.416501,20.6719563
"3099",-99.5450974,17.4391926
"3100",-84.328008,33.7993178
"3101",-95.712891,37.09024
"3102",-95.712891,37.09024
"3103",-95.712891,37.09024
"3104",NA,NA
"3105",-74.0059728,40.7127753
"3106",NA,NA
