"","lon","lat"
"1",-97.1383744,49.895136
"2",NA,NA
"3",NA,NA
"4",-79.3831843,43.653226
"5",-94.4155068,39.0911161
"6",NA,NA
"7",-118.2436849,34.0522342
"8",-111.0937311,34.0489281
"9",-106.346771,56.130366
"10",-106.346771,56.130366
"11",-106.346771,56.130366
"12",-84.2696449,36.0103561
"13",-96.1108066,33.1384488
"14",-85.323214,51.253775
"15",-97.7430608,30.267153
"16",-82.9318807,40.1266689
"17",NA,NA
"18",-99.9018131,31.9685988
"19",-96.7025955,40.813616
"20",-84.3926696,33.7629496
"21",-73.975694,40.8270448
"22",-95.3698028,29.7604267
"23",-118.2436849,34.0522342
"24",-78.6568942,37.4315734
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",-73.992346,40.7439371
"30",-84.7328269,45.7794809
"31",-71.0588801,42.3600825
"32",-71.4161671,41.7001009
"33",NA,NA
"34",NA,NA
"35",-103.3494376,20.6595382
"36",-76.6121893,39.2903848
"37",-82.4319405,28.3232418
"38",NA,NA
"39",-99.9018131,31.9685988
"40",-98.343796,40.9244594
"41",-117.9188221,33.6412156
"42",-77.0368707,38.9071923
"43",NA,NA
"44",-95.712891,37.09024
"45",-95.712891,37.09024
"46",-95.712891,37.09024
"47",NA,NA
"48",-119.0187125,35.3732921
"49",-85.6023643,44.3148443
"50",-120.7401385,47.7510741
"51",-122.7633036,38.083403
"52",NA,NA
"53",NA,NA
"54",-77.8600012,40.7933949
"55",NA,NA
"56",-71.0475773,42.3381437
"57",NA,NA
"58",-73.9487946,40.7478045
"59",-77.0368707,38.9071923
"60",-7.6920536,53.1423672
"61",-3.74922,40.463667
"62",NA,NA
"63",NA,NA
"64",-82.9000751,32.1656221
"65",-74.0059728,40.7127753
"66",15.2000001,45.1
"67",NA,NA
"68",-119.0187125,35.3732921
"69",-95.712891,37.09024
"70",NA,NA
"71",-95.3698028,29.7604267
"72",-95.5684983,37.0437323
"73",-82.9000751,32.1656221
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",-117.1610838,32.715738
"78",NA,NA
"79",-101.8551665,33.5778631
"80",-97.1080656,32.735687
"81",-91.1871466,30.4514677
"82",-121.8863286,37.3382082
"83",-74.4056612,40.0583238
"84",-93.2650108,44.977753
"85",NA,NA
"86",NA,NA
"87",-86.8166931,36.1069468
"88",-1.1743197,52.3555177
"89",-95.3698028,29.7604267
"90",-104.990251,39.7392358
"91",4.469936,50.503887
"92",-73.9441579,40.6781784
"93",-73.9441579,40.6781784
"94",-81.655651,30.3321838
"95",-80.1083075,26.390569
"96",-80.1083075,26.390569
"97",-80.1083075,26.390569
"98",-80.1083075,26.390569
"99",NA,NA
"100",-86.7816016,36.1626638
"101",-95.3698028,29.7604267
"102",NA,NA
"103",-4.251806,55.864237
"104",NA,NA
"105",NA,NA
"106",-85.6023643,44.3148443
"107",-97.9239307,34.9478454
